"{742.2139282226562, 431.1708068847656}","{898.8712158203125, 531.7105712890625}","{568.2665405273438, 659.7147827148438}","{459.358154296875, 621.491455078125}","{75.25029754638672, 648.1370849609375}"
"{743.0675048828125, 433.2909851074219}","{896.690673828125, 532.707763671875}","{570.4105224609375, 659.8161010742188}","{460.9096374511719, 624.061767578125}","{74.4553451538086, 646.1775512695312}"
"{742.6805419921875, 432.2131652832031}","{898.7515258789062, 530.841552734375}","{569.2578125, 659.769775390625}","{461.942626953125, 623.3125}","{74.67719268798828, 644.4046020507812}"
"{743.1908569335938, 433.40386962890625}","{897.99609375, 530.8177490234375}","{570.5538940429688, 659.4638061523438}","{459.82073974609375, 624.8262329101562}","{73.79342651367188, 644.7546997070312}"
"{743.1908569335938, 433.40386962890625}","{897.99609375, 530.8177490234375}","{570.5538940429688, 659.4638061523438}","{459.82073974609375, 624.8262329101562}","{73.79342651367188, 644.7546997070312}"
"{740.8765258789062, 433.6751403808594}","{898.4541015625, 530.78369140625}","{572.3497314453125, 660.7781982421875}","{460.07196044921875, 628.4302368164062}","{73.29316711425781, 644.2640991210938}"
"{740.8594360351562, 433.1487121582031}","{897.9957275390625, 529.9107666015625}","{571.8580932617188, 662.1052856445312}","{457.608154296875, 626.0079345703125}","{72.78313446044922, 643.9208984375}"
"{739.6678466796875, 431.8937072753906}","{898.3348999023438, 529.8951416015625}","{569.3076171875, 661.6139526367188}","{459.6962890625, 625.1348876953125}","{71.52337646484375, 643.8193359375}"
"{741.0560302734375, 431.30999755859375}","{899.904296875, 531.798095703125}","{568.73095703125, 659.9971313476562}","{458.5567626953125, 625.177490234375}","{70.80352020263672, 644.1797485351562}"
"{740.676513671875, 430.726318359375}","{901.1358032226562, 530.986328125}","{569.8775024414062, 657.80078125}","{457.2503356933594, 625.2990112304688}","{68.91360473632812, 646.5443725585938}"
"{740.6227416992188, 430.689208984375}","{901.550048828125, 529.855224609375}","{571.0875854492188, 660.228515625}","{456.4955749511719, 624.6060791015625}","{69.21146392822266, 647.553466796875}"
"{740.6963500976562, 430.4712219238281}","{901.551025390625, 530.75244140625}","{571.1744995117188, 659.6406860351562}","{456.2367248535156, 625.1045532226562}","{68.6641616821289, 649.8245849609375}"
"{743.008544921875, 427.7974853515625}","{900.5132446289062, 532.7000732421875}","{571.0814819335938, 657.4564819335938}","{457.4647216796875, 624.6319580078125}","{68.8729476928711, 650.0977783203125}"
"{743.008544921875, 427.7974853515625}","{900.5132446289062, 532.7000732421875}","{571.0814819335938, 657.4564819335938}","{457.4647216796875, 624.6319580078125}","{68.8729476928711, 650.0977783203125}"
"{743.3642578125, 427.053955078125}","{897.615966796875, 534.6250610351562}","{571.5138549804688, 656.4970092773438}","{459.86376953125, 627.5043334960938}","{66.90545654296875, 648.1361083984375}"
"{743.5149536132812, 426.4327087402344}","{895.5572509765625, 533.7978515625}","{569.1682739257812, 654.6671752929688}","{461.72369384765625, 624.6671142578125}","{69.72583770751953, 647.5565795898438}"
"{742.8385620117188, 426.9698181152344}","{898.309326171875, 534.9292602539062}","{569.4644775390625, 654.645751953125}","{462.31219482421875, 624.1256713867188}","{70.3338394165039, 646.3740234375}"
