"{313.5605773925781, 267.0833435058594}","{217.7682647705078, 23.372802734375}","{599.7670288085938, 94.94158935546875}","{683.4075927734375, 131.59796142578125}","{909.1124877929688, 686.1089477539062}","{555.3411865234375, 380.0379333496094}","{428.1020812988281, 402.6664733886719}","{287.84613037109375, 540.468017578125}","{278.1739807128906, 432.94989013671875}","{218.21726989746094, 452.820068359375}","{113.5455322265625, 441.28228759765625}"
"{312.23223876953125, 268.3168029785156}","{220.35240173339844, 22.6937255859375}","{599.8892822265625, 94.90777587890625}","{683.7041015625, 129.9117431640625}","{910.213134765625, 685.9718627929688}","{555.0916137695312, 379.3466491699219}","{430.1518859863281, 402.3083190917969}","{289.5582580566406, 539.9590454101562}","{280.02374267578125, 433.1299133300781}","{218.44064331054688, 454.7004699707031}","{113.9351577758789, 441.6715393066406}"
"{314.19451904296875, 268.4814147949219}","{221.4912109375, 24.4827880859375}","{600.34765625, 93.12884521484375}","{682.97705078125, 130.8504638671875}","{909.031982421875, 688.22314453125}","{554.7609252929688, 379.7751159667969}","{430.32623291015625, 401.5568542480469}","{290.26904296875, 538.6058349609375}","{278.9628601074219, 434.631591796875}","{218.5787811279297, 452.9445495605469}","{112.6484603881836, 442.8788757324219}"
"{314.7331848144531, 269.6649475097656}","{222.7999725341797, 23.69525146484375}","{601.5178833007812, 94.23773193359375}","{683.09912109375, 129.82110595703125}","{910.6986694335938, 687.5985107421875}","{555.8251342773438, 379.7284240722656}","{430.5572814941406, 400.2125549316406}","{291.6996765136719, 537.17431640625}","{276.7604675292969, 434.0672912597656}","{219.0731658935547, 454.4974670410156}","{113.24169921875, 444.6082763671875}"
"{314.21575927734375, 267.9250183105469}","{223.27297973632812, 25.24432373046875}","{595.287841796875, 95.1571044921875}","{682.8822631835938, 127.88916015625}","{910.640625, 686.7557373046875}","{555.5447998046875, 378.8048095703125}","{429.95855712890625, 401.179443359375}","{294.1566467285156, 535.6491088867188}","{279.4034118652344, 433.60693359375}","{218.47425842285156, 453.2432556152344}","{113.10189056396484, 442.0704345703125}"
"{314.4041442871094, 269.15155029296875}","{222.22914123535156, 26.8323974609375}","{595.9115600585938, 95.49395751953125}","{681.9346313476562, 128.44781494140625}","{910.7313842773438, 687.2005004882812}","{552.6566772460938, 379.7218933105469}","{429.5064697265625, 400.7037658691406}","{294.1775817871094, 535.822021484375}","{279.0914306640625, 432.8447570800781}","{218.01034545898438, 455.0190734863281}","{112.69407653808594, 441.1642150878906}"
"{315.19647216796875, 270.4132080078125}","{223.65921020507812, 26.696533203125}","{595.6380004882812, 96.03253173828125}","{685.2608642578125, 128.1744384765625}","{909.7857055664062, 687.0689697265625}","{551.7159423828125, 379.8631896972656}","{429.5863952636719, 401.7372741699219}","{293.86346435546875, 535.8485107421875}","{278.59576416015625, 433.9718933105469}","{218.02191162109375, 454.96221923828125}","{112.64031219482422, 442.00103759765625}"
"{317.0269470214844, 271.14697265625}","{220.50799560546875, 25.170654296875}","{597.01806640625, 95.75885009765625}","{683.8667602539062, 130.00885009765625}","{908.5399780273438, 688.4354858398438}","{551.64404296875, 380.5876770019531}","{431.8645324707031, 403.3653564453125}","{294.9195251464844, 538.9522705078125}","{276.8334045410156, 432.8046875}","{215.97239685058594, 456.81781005859375}","{112.06416320800781, 441.8575744628906}"
"{318.00225830078125, 271.2729797363281}","{221.13858032226562, 25.203125}","{595.8700561523438, 96.14739990234375}","{686.6632690429688, 127.9423828125}","{909.3136596679688, 691.0711669921875}","{551.6470947265625, 380.5325622558594}","{434.9861145019531, 402.8003234863281}","{294.6383361816406, 538.7716064453125}","{277.72454833984375, 433.4234619140625}","{214.77455139160156, 457.515625}","{112.29537200927734, 442.5147705078125}"
"{315.8179931640625, 271.7813415527344}","{223.2907257080078, 25.62158203125}","{596.1181030273438, 96.13360595703125}","{687.4761352539062, 128.22601318359375}","{907.3445434570312, 689.9298095703125}","{550.6504516601562, 380.1587219238281}","{437.0697937011719, 402.4261169433594}","{293.70751953125, 538.7373046875}","{277.51617431640625, 433.6327819824219}","{215.22607421875, 457.324462890625}","{112.63211059570312, 444.3077392578125}"
