"{869.7784423828125, 277.4505615234375}","{873.150390625, 513.2883911132812}","{596.6561279296875, 631.5477294921875}","{343.77032470703125, 389.9454040527344}"
"{867.9942626953125, 276.8942565917969}","{874.6362915039062, 514.5430297851562}","{595.0925903320312, 632.0587158203125}","{344.8572082519531, 390.3079528808594}"
"{867.9942626953125, 276.8942565917969}","{874.6362915039062, 514.5430297851562}","{595.0925903320312, 632.0587158203125}","{344.8572082519531, 390.3079528808594}"
"{867.3318481445312, 278.6884765625}","{874.790771484375, 513.6057739257812}","{595.3253173828125, 630.596923828125}","{345.0151062011719, 391.1064758300781}"
"{867.3318481445312, 278.6884765625}","{874.790771484375, 513.6057739257812}","{595.3253173828125, 630.596923828125}","{345.0151062011719, 391.1064758300781}"
"{866.8441772460938, 278.4548034667969}","{871.25537109375, 512.9009399414062}","{595.710205078125, 628.460205078125}","{348.6795349121094, 390.1612243652344}"
"{866.7028198242188, 278.7981872558594}","{869.8245239257812, 512.0897216796875}","{598.0230102539062, 629.5712890625}","{350.2179260253906, 390.5667724609375}"
"{865.1057739257812, 276.9871826171875}","{869.4550170898438, 514.1605224609375}","{595.2660522460938, 629.8544921875}","{349.5390625, 389.6724548339844}"
"{866.3496704101562, 276.97894287109375}","{872.2142944335938, 511.80096435546875}","{593.2977905273438, 630.1229858398438}","{349.0531005859375, 389.95928955078125}"
"{870.4945678710938, 276.8450927734375}","{871.4678344726562, 513.1441040039062}","{594.4486694335938, 627.608154296875}","{349.0177307128906, 391.8822326660156}"
"{870.55810546875, 277.1514892578125}","{872.512451171875, 512.9444580078125}","{595.7647094726562, 627.2926025390625}","{348.3503723144531, 392.6828918457031}"
"{871.3297119140625, 277.30645751953125}","{871.4686279296875, 516.038818359375}","{595.6329956054688, 627.1757202148438}","{348.5057373046875, 392.5771179199219}"
"{872.1174926757812, 276.9195861816406}","{871.9572143554688, 515.3203125}","{595.2076416015625, 628.1280517578125}","{347.4307861328125, 393.1353454589844}"
"{872.6632080078125, 277.6933288574219}","{872.2630004882812, 512.2986450195312}","{594.2604370117188, 627.885986328125}","{347.65740966796875, 391.7779235839844}"
"{874.0071411132812, 278.189453125}","{872.0587768554688, 513.0005493164062}","{594.3633422851562, 627.1873168945312}","{347.50738525390625, 394.0152587890625}"
"{873.1845703125, 278.38824462890625}","{874.5721435546875, 513.1436767578125}","{593.3692016601562, 628.2910766601562}","{347.929443359375, 393.20806884765625}"
"{871.8395385742188, 276.8309631347656}","{875.0590209960938, 512.5364990234375}","{595.8806762695312, 628.9943237304688}","{347.6346435546875, 392.7925109863281}"
"{870.9635620117188, 278.737060546875}","{875.6297607421875, 512.0195922851562}","{595.2117309570312, 629.4517211914062}","{348.865966796875, 392.9911193847656}"
"{870.45751953125, 279.57672119140625}","{873.4080200195312, 513.1815185546875}","{595.6246948242188, 628.97412109375}","{351.00640869140625, 392.8036193847656}"
"{870.45751953125, 279.57672119140625}","{873.4080200195312, 513.1815185546875}","{595.6246948242188, 628.97412109375}","{351.00640869140625, 392.8036193847656}"
"{870.4006958007812, 282.1717224121094}","{872.5068969726562, 510.47503662109375}","{594.8566284179688, 627.3442993164062}","{351.5279541015625, 395.1676330566406}"
"{871.0132446289062, 281.46185302734375}","{871.5411987304688, 507.64532470703125}","{593.395751953125, 627.881103515625}","{351.7888488769531, 394.79656982421875}"
"{870.3262939453125, 282.8384094238281}","{872.8519897460938, 504.79644775390625}","{592.9263916015625, 628.81982421875}","{351.4851379394531, 394.0058288574219}"
"{870.5900268554688, 281.88409423828125}","{872.9525146484375, 505.0754699707031}","{593.60302734375, 629.6051635742188}","{353.7388000488281, 394.4169921875}"
"{872.704833984375, 281.33984375}","{871.963623046875, 506.5042724609375}","{593.19677734375, 630.8395385742188}","{352.5563659667969, 396.3659973144531}"
"{875.5181274414062, 281.50396728515625}","{871.6749267578125, 507.2521667480469}","{593.4987182617188, 633.5794067382812}","{353.66943359375, 397.5807800292969}"
"{875.8186645507812, 280.4908752441406}","{872.2538452148438, 508.1236877441406}","{596.431640625, 632.6182250976562}","{354.9546203613281, 399.0473937988281}"
"{877.3638916015625, 278.7112121582031}","{872.720947265625, 510.03839111328125}","{596.6769409179688, 631.1196899414062}","{353.331298828125, 401.7535400390625}"
"{875.6788330078125, 278.14178466796875}","{872.093505859375, 508.7389831542969}","{595.62060546875, 629.6886596679688}","{355.1352233886719, 402.6165771484375}"
"{876.5479125976562, 278.8861999511719}","{871.76513671875, 507.7948913574219}","{598.3800048828125, 630.7473754882812}","{354.9320373535156, 404.5364074707031}"
"{875.3366088867188, 277.54730224609375}","{872.5267333984375, 507.41485595703125}","{597.2445068359375, 632.0774536132812}","{357.619873046875, 405.3980712890625}"
"{874.023193359375, 275.8950500488281}","{872.8759765625, 507.904052734375}","{597.3449096679688, 629.2435913085938}","{357.48883056640625, 405.5279235839844}"
"{873.052001953125, 274.0760498046875}","{874.6845092773438, 509.2356872558594}","{597.2382202148438, 629.4446411132812}","{357.3721008300781, 405.49908447265625}"
"{874.1199340820312, 272.82958984375}","{875.1385498046875, 509.9834899902344}","{598.8746948242188, 630.4700927734375}","{357.2130126953125, 405.4314270019531}"
"{874.1199340820312, 272.82958984375}","{875.1385498046875, 509.9834899902344}","{598.8746948242188, 630.4700927734375}","{357.2130126953125, 405.4314270019531}"
"{874.7706298828125, 272.392578125}","{876.1026000976562, 510.04339599609375}","{598.7198486328125, 630.1659545898438}","{358.7244567871094, 405.0442199707031}"
"{871.7766723632812, 273.1072998046875}","{878.2003784179688, 510.4824523925781}","{598.0145874023438, 632.0438232421875}","{357.3709411621094, 406.1856689453125}"
"{871.9520874023438, 274.2386779785156}","{878.6561279296875, 512.473388671875}","{599.910888671875, 631.4539184570312}","{356.6710510253906, 406.9794006347656}"
"{874.2737426757812, 273.75152587890625}","{878.354736328125, 512.4254150390625}","{599.5188598632812, 630.2676391601562}","{357.28216552734375, 406.3799743652344}"
"{872.900146484375, 273.1607666015625}","{878.0326538085938, 510.9642639160156}","{598.7507934570312, 627.8822021484375}","{356.2735290527344, 406.5673522949219}"
"{871.9281005859375, 273.3327331542969}","{877.8101806640625, 509.529296875}","{598.872314453125, 626.6951904296875}","{355.8200988769531, 404.9896545410156}"
"{872.162109375, 274.512451171875}","{877.0745239257812, 508.13385009765625}","{597.4612426757812, 626.906494140625}","{358.4442443847656, 407.4574279785156}"
"{873.4686279296875, 274.54815673828125}","{877.788330078125, 508.80096435546875}","{597.8182373046875, 629.0125732421875}","{356.92767333984375, 405.65618896484375}"
"{872.1609497070312, 275.5172424316406}","{878.1420288085938, 508.2283935546875}","{596.8097534179688, 632.0384521484375}","{356.2516784667969, 407.1075134277344}"
"{871.8514404296875, 276.58331298828125}","{880.4638061523438, 506.9833984375}","{596.560791015625, 629.8323974609375}","{356.8524169921875, 405.7110900878906}"
"{870.2399291992188, 274.30633544921875}","{878.5570678710938, 508.7154846191406}","{596.3079223632812, 629.8682250976562}","{358.5360412597656, 407.71392822265625}"
"{868.7843627929688, 271.2777099609375}","{878.5965576171875, 507.9420166015625}","{596.05859375, 628.575927734375}","{358.01776123046875, 405.86907958984375}"
"{867.3836059570312, 270.49664306640625}","{879.333984375, 510.213134765625}","{595.4579467773438, 628.5012817382812}","{357.65966796875, 407.0811767578125}"
"{870.1371459960938, 268.99920654296875}","{879.726318359375, 508.7254333496094}","{596.7454833984375, 628.7153930664062}","{358.9748229980469, 406.81182861328125}"
"{870.1371459960938, 268.99920654296875}","{879.726318359375, 508.7254333496094}","{596.7454833984375, 628.7153930664062}","{358.9748229980469, 406.81182861328125}"
"{872.82373046875, 267.30035400390625}","{877.837646484375, 504.32745361328125}","{597.1265869140625, 629.89794921875}","{362.3557434082031, 408.46844482421875}"
"{874.6724853515625, 266.1331481933594}","{877.8443603515625, 505.9541931152344}","{598.669921875, 628.4354858398438}","{362.89691162109375, 409.83203125}"
"{875.2891845703125, 268.2311706542969}","{877.72265625, 504.38690185546875}","{596.6002807617188, 628.626708984375}","{363.4432373046875, 409.7591857910156}"
"{878.4673461914062, 266.519287109375}","{878.04736328125, 503.58355712890625}","{596.7140502929688, 628.7164306640625}","{362.1095886230469, 409.8529968261719}"
"{880.5057373046875, 263.7346496582031}","{878.663818359375, 502.7245178222656}","{596.8648681640625, 629.6565551757812}","{360.967529296875, 410.6819152832031}"
"{879.9578857421875, 264.2694396972656}","{880.1161499023438, 501.5636901855469}","{597.1280517578125, 630.474365234375}","{361.32952880859375, 410.12152099609375}"
