"{962.4546508789062, 481.3458251953125}","{421.590576171875, 337.7657470703125}","{572.77734375, 494.9818420410156}","{492.4008483886719, 120.39697265625}","{784.0138549804688, 103.8218994140625}","{857.0848999023438, 362.78631591796875}","{835.0773315429688, 241.29852294921875}","{678.9228515625, 351.6443786621094}","{751.8909301757812, 309.2204895019531}","{675.9703369140625, 203.2392578125}","{595.7410278320312, 273.1898193359375}","{486.153564453125, 667.3287353515625}","{309.1749267578125, 603.0033569335938}","{319.1570739746094, 678.2036743164062}"
"{964.2871704101562, 480.7080383300781}","{423.500244140625, 337.98602294921875}","{572.2598876953125, 494.6796875}","{492.38140869140625, 119.3143310546875}","{782.9409790039062, 102.609375}","{859.1343994140625, 361.63861083984375}","{836.1614379882812, 242.58575439453125}","{679.8887329101562, 351.7203369140625}","{750.7163696289062, 309.2713928222656}","{676.5463256835938, 202.76300048828125}","{595.0272216796875, 275.19036865234375}","{489.35797119140625, 666.9761962890625}","{309.3336181640625, 603.5570678710938}","{317.2270812988281, 676.899169921875}"
"{964.1314697265625, 482.2195129394531}","{421.3853454589844, 334.87335205078125}","{572.5648193359375, 494.9252624511719}","{492.2781677246094, 119.58843994140625}","{782.3021240234375, 102.7938232421875}","{857.16455078125, 363.4010314941406}","{839.4957275390625, 244.3065185546875}","{681.0001220703125, 352.47003173828125}","{749.9854736328125, 311.9867858886719}","{677.7756958007812, 202.248291015625}","{594.1837768554688, 274.237548828125}","{487.248291015625, 665.0394287109375}","{309.33831787109375, 601.6553955078125}","{315.53094482421875, 676.654052734375}"
"{964.7985229492188, 482.87646484375}","{421.2605895996094, 335.0299377441406}","{574.7852783203125, 493.51544189453125}","{493.0079040527344, 120.14996337890625}","{783.394775390625, 103.964599609375}","{856.2733764648438, 365.94677734375}","{838.6466064453125, 243.78125}","{682.6220092773438, 351.2649230957031}","{749.175537109375, 312.56170654296875}","{678.3363647460938, 201.096923828125}","{593.7850952148438, 274.89923095703125}","{487.1207580566406, 665.4950561523438}","{311.1284484863281, 601.3722534179688}","{316.4360046386719, 676.2510375976562}"
"{963.9810180664062, 481.80474853515625}","{419.4760437011719, 335.9989318847656}","{572.716796875, 493.0406188964844}","{493.1151428222656, 117.68756103515625}","{782.4876098632812, 103.28759765625}","{853.8305053710938, 364.98760986328125}","{836.2267456054688, 243.6202392578125}","{682.3721923828125, 351.7532653808594}","{750.7490234375, 311.2770690917969}","{677.7755737304688, 199.47235107421875}","{593.9718017578125, 270.9276428222656}","{487.62646484375, 666.5145263671875}","{312.45733642578125, 600.4833984375}","{317.1946105957031, 677.0411376953125}"
"{962.9847412109375, 483.169921875}","{420.4921875, 335.59356689453125}","{573.6038208007812, 491.4377136230469}","{492.1269836425781, 117.0587158203125}","{784.3070068359375, 102.86663818359375}","{854.6796264648438, 364.63531494140625}","{834.5714111328125, 243.19012451171875}","{682.385498046875, 350.3232421875}","{747.9151000976562, 313.6224060058594}","{678.0405883789062, 200.7041015625}","{594.79736328125, 270.05328369140625}","{485.3046875, 665.1527099609375}","{314.7113952636719, 600.5718383789062}","{317.3826599121094, 679.7127075195312}"
"{963.5744018554688, 484.53582763671875}","{419.4634704589844, 334.89569091796875}","{572.0938720703125, 491.3349609375}","{489.4867248535156, 120.96234130859375}","{782.897216796875, 104.4989013671875}","{855.0359497070312, 364.6535339355469}","{836.4209594726562, 241.717529296875}","{682.5741577148438, 351.85772705078125}","{747.9356079101562, 313.59356689453125}","{678.2069702148438, 202.10968017578125}","{594.833251953125, 272.41461181640625}","{485.39190673828125, 665.093017578125}","{311.7744445800781, 602.8853759765625}","{317.1244201660156, 680.9473266601562}"
"{963.5655517578125, 483.24774169921875}","{419.1587219238281, 335.5464172363281}","{571.9983520507812, 487.97442626953125}","{488.6645202636719, 119.9488525390625}","{782.92138671875, 102.04608154296875}","{855.2327880859375, 363.68072509765625}","{838.3097534179688, 239.721435546875}","{683.8368530273438, 349.6334228515625}","{749.0702514648438, 312.6532897949219}","{677.8602905273438, 200.9251708984375}","{594.6674194335938, 270.32989501953125}","{487.2693786621094, 662.4265747070312}","{313.35443115234375, 601.104248046875}","{320.0508117675781, 680.936279296875}"
"{963.2755737304688, 485.3851623535156}","{417.672607421875, 335.4892272949219}","{570.8262329101562, 488.0682678222656}","{487.5199890136719, 119.89892578125}","{783.410888671875, 103.53240966796875}","{857.7020874023438, 362.8438720703125}","{838.4888916015625, 237.86419677734375}","{686.9443969726562, 348.76263427734375}","{749.0816650390625, 313.34051513671875}","{677.478515625, 204.0540771484375}","{595.0394287109375, 271.5297546386719}","{482.6341552734375, 663.5829467773438}","{313.4973449707031, 599.350341796875}","{319.0462341308594, 683.9083862304688}"
"{963.2134399414062, 487.1015930175781}","{418.0603332519531, 336.973388671875}","{570.649169921875, 488.24407958984375}","{488.0020751953125, 119.3367919921875}","{784.451171875, 103.02984619140625}","{857.60595703125, 363.8301086425781}","{841.35791015625, 236.22216796875}","{687.0567016601562, 349.2889099121094}","{750.2249145507812, 311.9183044433594}","{677.6158447265625, 202.92340087890625}","{596.0787963867188, 272.51727294921875}","{482.0740661621094, 663.4273681640625}","{312.7015075683594, 599.9141235351562}","{319.0911865234375, 686.2617797851562}"
